sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190202,1,1,1,2018,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,2, ,2018,5,9000, ,2, ,2, ,32,2,2,190202.p02, , , , , , , , , , , , 
190204,1,1,1,2012,SUBARU, ,SUBARU,,,,1,1,8,8, ,0,0,0,0,1, ,2012, ,15000, ,2, ,2, ,24,3,1,190204.p01, , , , , , , , , , , , 
190205,2,2,2,1999,CHEVROLET, ,CHEVROLET,,,,1,1,2,2, ,0,0,0,0,3, ,2008, ,200, ,2, ,2, ,22,5,2,190205.p02, , , , , , , , , , , , 
190206,1,1,4,2018,ACURA, ,ACURA,,,,2,2,8,8, ,1,0,0,0,1, ,2018,11,20000, ,2, ,2, ,21,4,2,190206.p02, , , , , , , , , , , , 
190206,4,4,4,2004,NISSAN, ,NISSAN,,,,1,1,13,13, ,0,0,0,0,1, ,2004, ,3000, ,2, ,2, ,15,2,1,190206.p01, , , , , , , , , , , , 
190209,1,1,3,2011,HONDA, ,HONDA,,,,1,1,10,10, ,0,0,0,0,1, ,2011, ,10000, ,2, ,2, ,23,3,1,190209.p01, , , , , , , , , , , , 
190210,2,2,3,2003,VOLKSWAGEN, ,VOLKSWAGEN,,,,1,1,1,1, ,0,0,0,0,1, ,2003, ,5000, ,2, ,2, ,22,1,1,190210.p01, , , , , , , , , , , , 
190211,3,3,3,2010,TOYOTA, ,TOYOTA,,,,1,1,2,2, ,0,0,0,0,1, ,2010, ,9000, ,2, ,2, ,24,3,3,190211.p03, , , , , , , , , , , , 
190214,1,1,2,2016,HONDA, ,HONDA,,,,1,1,8,8, ,0,0,0,0,1, ,2016, ,15000, ,2, ,2, ,20,4,2,190214.p02, , , , , , , , , , , , 
190216,2,2,2,2016,KIA, ,KIA,,,,1,1,6,6, ,0,0,0,0,1, ,2016, ,2000, ,2, ,2, ,32,2,1,190216.p01, , , , , , , , , , , , 
190218,1,1,3,2003,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,3, ,2019,1,20000, ,2, ,2, ,30,4,1,190218.p01, , , , , , , , , , , , 
190219,1,1,3,2018,AUDI, ,AUDI,,,,1,1,2,2, ,0,0,0,0,2, ,2017, ,12000, ,2, ,2, ,26,2,1,190219.p01, , , , , , , , , , , , 
190221,3,3,3,2007,FORD, ,FORD,,,,1,1,3,3, ,0,0,0,0,1, ,2007, ,5000, ,2, ,2, ,32,3,1,190221.p01, , , , , , , , , , , , 
190222,1,1,1,2015,KIA, ,KIA,,,,1,1,3,3, ,0,0,0,0,1, ,2014, ,5000, ,2, ,2, ,20,1,1,190222.p01, , , , , , , , , , , , 
190224,2,2,2,2000,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,3, ,2004, ,10000, ,2, ,2, ,28,2,2,190224.p02, , , , , , , , , , , , 
190225,1,1,2,2019,SUBARU, ,SUBARU,,,,1,1,3,3, ,0,0,0,0,1, ,2019,2,6000, ,2, ,2, ,30,6,1,190225.p01, , , , , , , , , , , , 
190230,2,2,8,2007,PORSCHE, ,PORSCHE,,,,1,1,5,5, ,0,0,0,0,1, ,2009, ,1000, ,2, ,2, ,20,6,1,190230.p01, , , , , , , , , , , , 
190230,5,5,8,2018,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,1,1,3,3, ,0,0,0,0,1, ,2018,2,1000, ,2, ,2, ,19,3,1,190230.p01, , , , , , , , , , , , 
190230,8,8,8,1980,CHEVROLET, ,CHEVROLET,,,,1,1,5,5, ,0,0,0,0,3, ,2012, ,1000, ,2, ,2, ,15,6,1,190230.p01, , , , , , , , , , , , 
190232,1,1,6,1998,MITSUBISHI, ,MITSUBISHI,,,,1,1,1,1, ,0,0,0,0,1, ,1998, ,10000, ,2, ,2, ,25,6,3,190232.p03, , , , , , , , , , , , 
190232,4,4,6,2014,HONDA, ,HONDA,,,,1,1,10,10, ,0,0,0,0,1, ,2013, ,7000, ,2, ,2, ,24,6,2,190232.p02, , , , , , , , , , , , 
190235,2,2,5,2007,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,3, ,2017, ,15000, ,2, ,2, ,24,3,4,190235.p04, , , , , , , , , , , , 
190236,1,1,3,2016,HONDA, ,HONDA,,,,1,1,8,8, ,0,0,0,0,1, ,2016, ,7000, ,2, ,2, ,22,5,1,190236.p01, , , , , , , , , , , , 
190235,5,5,5,2013,TOYOTA, ,TOYOTA,,,,1,1,12,12, ,0,0,0,0,3, ,2016, ,12000, ,2, ,2, ,20,4,4,190235.p04, , , , , , , , , , , , 
